data,Rt
2020-07-17,0.95
2020-07-18,0.95
2020-07-19,0.95
2020-07-20,0.98
2020-07-21,0.98
2020-07-22,0.98
2020-07-23,0.96
2020-07-24,0.96
2020-07-25,0.96
2020-07-26,0.96
2020-07-27,0.96
2020-07-28,0.96
2020-07-29,0.96
2020-07-30,0.83
2020-07-31,0.83
2020-08-01,0.83
2020-08-02,0.83
2020-08-03,0.83
2020-08-04,0.83
2020-08-05,0.83
2020-08-06,0.75
2020-08-07,0.75
2020-08-08,0.75
2020-08-09,0.75
2020-08-10,0.75
2020-08-11,0.75
2020-08-12,0.75
2020-08-13,1.18
2020-08-14,1.18
2020-08-15,1.18
2020-08-16,1.18
2020-08-17,1.18
2020-08-18,1.18
2020-08-19,1.18
2020-08-20,1.14
2020-08-21,1.14
2020-08-22,1.14
2020-08-23,1.14
2020-08-24,1.14
2020-08-25,1.14
2020-08-26,1.14
2020-08-27,0.92
2020-08-28,0.92
2020-08-29,0.92
2020-08-30,0.92
2020-08-31,0.92
2020-09-01,0.92
2020-09-02,0.92
2020-09-03,0.95
2020-09-04,0.95
2020-09-05,0.95
2020-09-06,0.95
2020-09-07,0.95
2020-09-08,0.95
2020-09-09,0.95
2020-09-10,1.01
2020-09-11,1.01
2020-09-12,1.01
2020-09-13,1.01
2020-09-14,1.01
2020-09-15,1.01
2020-09-16,1.01
2020-09-17,1.06
2020-09-18,1.06
2020-09-19,1.06
2020-09-20,1.06
2020-09-21,1.06
2020-09-22,1.06
2020-09-23,1.06
2020-09-24,1.17
2020-09-25,1.17
2020-09-26,1.17
2020-09-27,1.17
2020-09-28,1.17
2020-09-29,1.17
2020-09-30,1.17
2020-10-01,1.5
2020-10-02,1.5
2020-10-03,1.5
2020-10-04,1.5
2020-10-05,1.5
2020-10-06,1.5
2020-10-07,1.5
2020-10-08,1.7
2020-10-09,1.7
2020-10-10,1.7
2020-10-11,1.7
2020-10-12,1.7
2020-10-13,1.7
2020-10-14,1.7
2020-10-15,1.7
2020-10-16,1.7
2020-10-17,1.7
2020-10-18,1.7
2020-10-19,1.7
2020-10-20,1.7
2020-10-21,1.7
2020-10-22,1.43
2020-10-23,1.43
2020-10-24,1.43
2020-10-25,1.43
2020-10-26,1.43
2020-10-27,1.43
2020-10-28,1.43
2020-10-29,1.43
2020-10-30,1.43
2020-10-31,1.43
2020-11-01,1.43
2020-11-02,1.43
2020-11-03,1.43
2020-11-04,1.08
2020-11-05,1.08
2020-11-06,1.08
2020-11-07,1.08
2020-11-08,1.08
2020-11-09,1.08
2020-11-10,1.08
2020-11-11,1.08
2020-11-12,1.08
2020-11-13,1.08
2020-11-14,1.08
2020-11-15,1.08
2020-11-16,1.08
2020-11-17,1.08
2020-11-18,
2020-11-19,
2020-11-20,
2020-11-21,
2020-11-22,
2020-11-23,
2020-11-24,
2020-11-25,
2020-11-26,
2020-11-27,
2020-11-28,
2020-11-29,
2020-11-30,
